survey_id,date,customer_id,location,score,comment,category
133,2024-04-07,152,Quito Norte,7,espera moderada,Tiempo de espera
134,2024-12-29,786,Guayaquil Centro,8,muy limpio,Limpieza
135,2025-08-19,543,Manta,8,limpieza adecuada,Limpieza
136,2025-08-03,105,Guayaquil Norte,5,trato malo,Trato
137,2024-09-27,424,Guayaquil Centro,9,trato amable,Trato
138,2024-05-30,772,Guayaquil Centro,8,excelente atención,Trato
139,2024-03-26,277,Quito Norte,2,mucha espera,Tiempo de espera
140,2025-04-19,552,Guayaquil Centro,7,funciona como se espera,Calidad
141,2024-06-13,510,Guayaquil Centro,10,descuento aplicado,Precio
142,2025-06-24,519,Quito Norte,7,todo impecable,Limpieza
143,2025-08-16,210,Quito Sur,6,demora innecesaria,Tiempo de espera
144,2024-04-05,705,Quito Norte,8,buena relación valor-precio,Precio
145,2025-07-01,186,Guayaquil Norte,9,resultado excelente,Calidad
146,2024-03-19,725,Guayaquil Centro,8,asesor muy cordial,Trato
147,2024-08-01,35,Quito Norte,8,calidad normal,Calidad
148,2024-02-22,196,Guayaquil Centro,4,sucio,Limpieza
149,2024-09-04,732,Manta,9,flujo ágil,Tiempo de espera
150,2024-12-04,176,Cuenca,5,neutral,Trato
151,2025-01-18,769,Cuenca,9,personal atento,Trato
152,2024-08-17,184,Cuenca,7,flujo ágil,Tiempo de espera
153,2025-04-14,641,Manta,9,resultado excelente,Calidad
154,2024-06-26,719,Quito Norte,8,personal atento,Trato
155,2024-05-27,88,Quito Norte,8,producto funciona perfecto,Calidad
156,2024-10-09,445,Quito Sur,9,ordenado y pulcro,Limpieza
157,2025-03-30,19,Cuenca,6,neutral,Trato
158,2025-03-02,784,Cuenca,6,ok,Instalaciones
159,2025-03-04,20,Quito Norte,8,instalaciones modernas,Instalaciones
160,2024-03-03,248,Guayaquil Norte,8,flujo ágil,Tiempo de espera
161,2024-04-28,657,Cuenca,8,servicio de alta calidad,Calidad
162,2025-01-24,100,Quito Sur,4,trato malo,Trato
163,2025-01-23,435,Cuenca,0,no solucionaron,Calidad
164,2025-07-13,263,Guayaquil Centro,10,sala de espera excelente,Instalaciones
165,2024-09-04,665,Cuenca,9,muy limpio,Limpieza
166,2024-03-05,48,Guayaquil Centro,4,demora innecesaria,Tiempo de espera
167,2024-05-07,343,Quito Norte,9,áreas cómodas,Instalaciones
168,2024-06-07,29,Manta,10,resultado excelente,Calidad
169,2025-08-09,38,Quito Sur,9,promociones útiles,Precio
170,2024-08-08,378,Quito Sur,2,falta señalización,Instalaciones
171,2025-06-15,297,Guayaquil Norte,9,resultado excelente,Calidad
172,2024-02-22,646,Guayaquil Centro,7,flujo ágil,Tiempo de espera
173,2025-07-31,159,Quito Sur,8,sin demoras,Tiempo de espera
174,2025-05-08,656,Cuenca,8,áreas cómodas,Instalaciones
175,2025-09-05,125,Manta,6,estuvo bien,Trato
176,2025-03-08,544,Manta,4,trato malo,Trato
177,2024-02-03,226,Guayaquil Centro,6,espera moderada,Tiempo de espera
178,2024-02-06,519,Manta,7,personal atento,Trato
179,2025-06-12,377,Guayaquil Centro,4,poca comodidad,Instalaciones
180,2024-03-09,325,Guayaquil Norte,5,estuvo bien,Trato
181,2025-05-03,480,Manta,9,personal atento,Trato
182,2024-04-07,243,Guayaquil Norte,6,baños descuidados,Limpieza
183,2024-07-20,179,Manta,7,excelente atención,Trato
184,2025-02-07,507,Quito Norte,1,tardaron demasiado,Tiempo de espera
185,2024-03-12,581,Cuenca,10,buena relación valor-precio,Precio
186,2024-01-01,477,Cuenca,7,trato correcto,Trato
187,2025-05-07,179,Guayaquil Centro,8,buena señalización,Instalaciones
188,2025-07-03,661,Manta,8,tiempo razonable,Tiempo de espera
189,2024-02-05,547,Manta,3,poco higiénico,Limpieza
190,2024-04-19,589,Guayaquil Centro,9,excelente atención,Trato
191,2025-03-01,135,Cuenca,10,sala de espera excelente,Instalaciones
192,2024-08-02,187,Quito Sur,10,buena relación valor-precio,Precio
193,2024-11-22,624,Cuenca,10,higiene adecuada,Limpieza
194,2025-03-04,244,Quito Norte,5,suficiente,Instalaciones
195,2025-04-03,587,Cuenca,9,flujo ágil,Tiempo de espera
196,2025-06-21,44,Cuenca,7,áreas cómodas,Instalaciones
197,2025-04-21,458,Guayaquil Norte,6,limpieza adecuada,Limpieza
198,2024-09-29,618,Quito Norte,10,excelente atención,Trato
199,2024-11-30,34,Quito Norte,10,muy limpio,Limpieza
200,2024-10-25,464,Quito Norte,10,personal atento,Trato
201,2025-03-04,461,Quito Sur,9,promociones útiles,Precio
202,2024-07-13,480,Quito Sur,7,suficiente,Instalaciones
203,2024-07-20,196,Quito Sur,4,mala calidad,Calidad
204,2024-12-01,667,Cuenca,7,normal,Limpieza
205,2024-12-29,136,Manta,10,higiene adecuada,Limpieza
206,2024-10-04,598,Guayaquil Centro,6,trato correcto,Trato
207,2024-11-28,473,Cuenca,8,trato amable,Trato
208,2025-07-20,648,Guayaquil Centro,3,no respetaron promoción,Precio
209,2025-08-19,570,Guayaquil Centro,5,normal,Limpieza
210,2024-04-26,523,Cuenca,8,precio justo,Precio
211,2025-04-13,708,Manta,7,excelente atención,Trato
212,2025-07-05,588,Guayaquil Norte,9,trato amable,Trato
213,2025-06-24,125,Guayaquil Norte,6,trato correcto,Trato
214,2025-08-05,426,Guayaquil Centro,8,todo impecable,Limpieza
215,2025-03-27,242,Guayaquil Centro,3,baños descuidados,Limpieza
216,2025-01-01,698,Quito Sur,6,instalaciones normales,Instalaciones
217,2024-02-23,448,Guayaquil Centro,5,mala calidad,Calidad
218,2024-03-23,14,Quito Norte,9,servicio de alta calidad,Calidad
219,2024-08-19,356,Guayaquil Norte,8,todo impecable,Limpieza
220,2025-08-27,796,Quito Sur,8,instalaciones modernas,Instalaciones
221,2025-07-30,299,Manta,7,normal,Limpieza
222,2024-07-27,53,Quito Sur,10,descuento aplicado,Precio
223,2025-09-14,747,Guayaquil Norte,7,instalaciones normales,Instalaciones
224,2025-05-30,499,Cuenca,7,normal,Limpieza
225,2024-01-18,790,Cuenca,6,ni caro ni barato,Precio
226,2025-09-08,539,Quito Norte,9,buena señalización,Instalaciones
227,2024-06-23,276,Cuenca,7,ok en limpieza,Limpieza
228,2025-06-15,199,Manta,8,descuento aplicado,Precio
229,2024-04-05,638,Manta,2,desorden,Limpieza
230,2025-02-28,632,Guayaquil Centro,5,espera moderada,Tiempo de espera
231,2024-04-21,774,Guayaquil Norte,8,todo impecable,Limpieza
232,2025-03-29,615,Quito Sur,5,dentro de lo esperado,Tiempo de espera
233,2025-06-17,198,Quito Sur,9,áreas cómodas,Instalaciones
234,2024-12-13,303,Quito Sur,8,servicio de alta calidad,Calidad
235,2025-09-14,313,Quito Sur,9,sala de espera excelente,Instalaciones
236,2025-06-25,702,Guayaquil Norte,7,asesor muy cordial,Trato
237,2025-06-03,477,Quito Norte,9,sin demoras,Tiempo de espera
238,2024-10-28,287,Guayaquil Centro,3,producto defectuoso,Calidad
239,2025-03-07,122,Guayaquil Norte,7,sala de espera excelente,Instalaciones
240,2025-05-09,295,Quito Norte,1,no solucionaron,Calidad
241,2025-01-11,652,Guayaquil Centro,2,poco amables,Trato
242,2024-07-27,318,Guayaquil Centro,7,descuento aplicado,Precio
243,2025-09-10,697,Guayaquil Norte,9,diagnóstico acertado,Calidad
244,2025-08-31,686,Cuenca,9,flujo ágil,Tiempo de espera
245,2024-01-26,257,Guayaquil Norte,7,funciona como se espera,Calidad
246,2025-01-22,233,Guayaquil Centro,1,fila eterna,Tiempo de espera
247,2024-12-21,245,Guayaquil Norte,8,personal atento,Trato
248,2024-05-21,640,Guayaquil Centro,3,sin aire acondicionado,Instalaciones
249,2025-05-11,139,Quito Norte,10,tiempo razonable,Tiempo de espera
250,2024-03-21,236,Guayaquil Centro,9,precio justo,Precio
251,2025-01-26,45,Quito Norte,7,instalaciones normales,Instalaciones
252,2025-02-05,754,Manta,7,buena relación valor-precio,Precio
253,2024-12-07,188,Quito Norte,10,asesor muy cordial,Trato
254,2024-11-04,736,Quito Norte,10,excelente atención,Trato
255,2024-08-25,633,Guayaquil Centro,8,buena relación valor-precio,Precio
256,2024-05-08,492,Guayaquil Centro,7,ok en limpieza,Limpieza
257,2024-03-03,767,Cuenca,1,trato malo,Trato
258,2025-04-17,270,Manta,8,áreas cómodas,Instalaciones
259,2024-09-03,400,Quito Norte,8,calidad normal,Calidad
260,2025-08-22,603,Cuenca,6,calidad normal,Calidad
261,2025-08-20,287,Manta,7,asesor muy cordial,Trato
262,2024-02-27,289,Cuenca,6,sucio,Limpieza
263,2024-11-19,254,Quito Sur,7,buena señalización,Instalaciones
264,2025-04-29,755,Cuenca,4,poca comodidad,Instalaciones
265,2025-08-18,278,Guayaquil Centro,9,flujo ágil,Tiempo de espera
266,2024-12-17,17,Quito Norte,6,normal,Limpieza
267,2025-02-26,378,Manta,10,personal atento,Trato
268,2024-06-25,476,Guayaquil Centro,7,trato amable,Trato
269,2025-02-21,771,Cuenca,10,precio justo,Precio
270,2024-10-18,591,Manta,10,personal atento,Trato
271,2024-07-15,715,Cuenca,6,normal,Limpieza
272,2025-06-03,25,Manta,9,flujo ágil,Tiempo de espera
273,2025-01-28,614,Cuenca,7,flujo ágil,Tiempo de espera
274,2024-12-10,226,Quito Sur,5,respuesta fría,Trato
275,2025-07-05,340,Guayaquil Centro,9,instalaciones modernas,Instalaciones
276,2024-12-24,660,Quito Sur,4,respuesta fría,Trato
277,2024-03-01,727,Cuenca,5,dentro de lo esperado,Tiempo de espera
278,2024-02-14,735,Guayaquil Centro,9,asesor muy cordial,Trato
279,2025-03-08,754,Guayaquil Centro,9,personal atento,Trato
280,2024-05-19,200,Guayaquil Norte,6,funciona como se espera,Calidad
281,2024-11-22,318,Guayaquil Norte,8,áreas cómodas,Instalaciones
282,2024-08-09,425,Guayaquil Norte,2,trato malo,Trato
283,2024-10-07,572,Guayaquil Centro,7,estuvo bien,Trato
284,2025-08-31,267,Quito Norte,6,neutral,Trato
285,2024-10-14,583,Manta,2,mala calidad,Calidad
286,2025-05-25,238,Manta,6,precio estándar,Precio
287,2024-03-20,795,Guayaquil Centro,6,instalaciones normales,Instalaciones
288,2025-08-27,392,Cuenca,3,desorden,Limpieza
289,2024-09-10,494,Quito Norte,7,ok,Instalaciones
290,2024-05-21,396,Quito Norte,5,fila eterna,Tiempo de espera
291,2025-08-16,252,Guayaquil Centro,5,trato correcto,Trato
292,2024-07-21,647,Guayaquil Centro,6,ok en limpieza,Limpieza
293,2024-06-11,311,Guayaquil Norte,8,promociones útiles,Precio
294,2024-11-21,328,Manta,5,neutral,Trato
295,2025-03-24,133,Cuenca,2,poco amables,Trato
296,2025-04-21,254,Guayaquil Norte,10,trato amable,Trato
297,2024-06-17,700,Guayaquil Norte,4,tardaron demasiado,Tiempo de espera
298,2024-05-15,103,Guayaquil Centro,3,respuesta fría,Trato
299,2025-04-27,774,Guayaquil Centro,9,áreas cómodas,Instalaciones
300,2024-03-23,168,Manta,3,precio elevado,Precio
301,2025-05-28,369,Quito Norte,8,instalaciones normales,Instalaciones
302,2025-06-23,645,Manta,7,higiene adecuada,Limpieza
303,2024-12-29,645,Guayaquil Norte,6,funciona como se espera,Calidad
304,2024-07-25,797,Guayaquil Norte,4,poca comodidad,Instalaciones
305,2024-09-17,661,Manta,6,falta señalización,Instalaciones
306,2025-03-31,400,Manta,8,sin demoras,Tiempo de espera
307,2024-02-25,252,Cuenca,8,estuvo bien,Trato
308,2024-10-24,260,Guayaquil Norte,8,ni caro ni barato,Precio
309,2025-05-28,406,Quito Norte,10,excelente atención,Trato
310,2024-01-20,437,Cuenca,7,neutral,Trato
311,2025-01-27,589,Quito Norte,9,rápidos en atender,Tiempo de espera
312,2024-11-17,455,Cuenca,8,dentro de lo esperado,Tiempo de espera
313,2024-01-05,293,Cuenca,3,falta señalización,Instalaciones
314,2024-05-27,406,Guayaquil Centro,10,sin demoras,Tiempo de espera
315,2024-03-15,240,Guayaquil Centro,7,estuvo bien,Trato
316,2025-03-01,371,Guayaquil Centro,9,rápidos en atender,Tiempo de espera
317,2024-09-22,681,Cuenca,9,muy limpio,Limpieza
318,2024-05-18,231,Guayaquil Norte,6,espera moderada,Tiempo de espera
319,2025-07-18,55,Guayaquil Centro,9,resultado excelente,Calidad
320,2025-07-16,635,Cuenca,2,falta señalización,Instalaciones
321,2024-06-15,297,Cuenca,9,rápidos en atender,Tiempo de espera
322,2025-02-15,651,Quito Sur,6,estuvo bien,Trato
323,2025-01-13,60,Cuenca,6,neutral,Trato
324,2024-09-14,388,Manta,8,sin demoras,Tiempo de espera
325,2024-05-25,476,Quito Sur,6,ok en limpieza,Limpieza
326,2024-06-06,280,Guayaquil Centro,9,excelente atención,Trato
327,2024-04-05,724,Quito Norte,9,servicio de alta calidad,Calidad
328,2025-07-20,455,Quito Sur,8,diagnóstico acertado,Calidad
329,2024-04-04,161,Manta,2,sucio,Limpieza
330,2024-12-31,97,Guayaquil Centro,8,áreas cómodas,Instalaciones
331,2024-11-01,155,Guayaquil Centro,8,diagnóstico acertado,Calidad
332,2024-10-04,750,Guayaquil Norte,7,espera moderada,Tiempo de espera
333,2025-01-12,792,Manta,10,instalaciones modernas,Instalaciones
334,2024-03-14,108,Cuenca,7,buena señalización,Instalaciones
335,2024-03-27,181,Quito Norte,8,áreas cómodas,Instalaciones
336,2024-08-14,568,Cuenca,7,rápidos en atender,Tiempo de espera
337,2024-05-29,622,Quito Norte,7,ok en limpieza,Limpieza
338,2025-05-04,565,Quito Norte,9,buena señalización,Instalaciones
339,2025-06-03,25,Cuenca,5,estuvo bien,Trato
340,2025-02-05,596,Cuenca,8,excelente atención,Trato
341,2024-01-29,86,Quito Norte,7,áreas cómodas,Instalaciones
342,2025-03-31,54,Manta,7,ok,Instalaciones
343,2024-02-19,216,Quito Norte,10,personal atento,Trato
344,2025-01-31,103,Quito Norte,8,ok en limpieza,Limpieza
345,2025-06-06,350,Guayaquil Norte,10,sin demoras,Tiempo de espera
346,2025-07-13,725,Guayaquil Centro,6,neutral,Trato
347,2025-04-16,245,Quito Norte,5,desorden,Limpieza
348,2024-09-03,739,Guayaquil Centro,9,ordenado y pulcro,Limpieza
349,2025-03-14,739,Quito Norte,7,tiempo razonable,Tiempo de espera
350,2024-01-21,614,Quito Norte,9,todo impecable,Limpieza
351,2024-03-26,384,Guayaquil Norte,6,suficiente,Instalaciones
352,2024-06-02,567,Cuenca,4,respuesta fría,Trato
353,2024-09-30,206,Guayaquil Centro,7,resultado excelente,Calidad
354,2024-10-19,603,Guayaquil Norte,6,precio estándar,Precio
355,2024-05-10,334,Quito Sur,7,precio estándar,Precio
356,2025-04-05,383,Guayaquil Centro,8,asesor muy cordial,Trato
357,2025-04-13,785,Manta,8,servicio de alta calidad,Calidad
358,2024-09-18,14,Quito Sur,8,sala de espera excelente,Instalaciones
359,2025-07-03,411,Guayaquil Norte,7,ok en limpieza,Limpieza
360,2025-05-10,534,Quito Norte,10,personal atento,Trato
361,2025-01-25,274,Guayaquil Norte,10,producto funciona perfecto,Calidad
362,2024-02-20,518,Cuenca,8,buena señalización,Instalaciones
363,2025-05-10,368,Quito Sur,3,no escuchan,Trato
364,2024-08-15,590,Guayaquil Norte,7,muy limpio,Limpieza
365,2024-03-16,469,Quito Norte,10,instalaciones modernas,Instalaciones
366,2024-09-27,83,Guayaquil Norte,9,sala de espera excelente,Instalaciones
367,2025-02-12,147,Guayaquil Norte,9,excelente atención,Trato
368,2024-08-07,71,Guayaquil Norte,9,buena señalización,Instalaciones
369,2024-02-07,45,Guayaquil Norte,2,sucio,Limpieza
370,2025-06-08,51,Quito Sur,8,flujo ágil,Tiempo de espera
371,2025-01-07,378,Guayaquil Norte,9,diagnóstico acertado,Calidad
372,2025-09-01,528,Guayaquil Norte,7,estuvo bien,Trato
373,2025-07-17,114,Quito Norte,8,promociones útiles,Precio
374,2024-08-30,221,Quito Sur,7,espera moderada,Tiempo de espera
375,2024-07-21,232,Guayaquil Centro,7,neutral,Trato
376,2024-10-12,588,Quito Sur,7,trato correcto,Trato
377,2024-02-04,482,Guayaquil Norte,9,buena señalización,Instalaciones
378,2024-04-20,320,Guayaquil Centro,6,instalaciones normales,Instalaciones
379,2025-02-18,262,Cuenca,1,sin aire acondicionado,Instalaciones
380,2024-04-29,116,Quito Sur,5,mucha espera,Tiempo de espera
381,2024-11-06,226,Manta,7,espera moderada,Tiempo de espera
382,2025-02-22,333,Quito Sur,7,ok,Instalaciones
383,2024-03-04,101,Quito Sur,6,sucio,Limpieza
384,2024-11-19,460,Cuenca,10,muy limpio,Limpieza
385,2024-05-18,173,Manta,8,ordenado y pulcro,Limpieza
386,2025-07-12,662,Guayaquil Centro,7,ordenado y pulcro,Limpieza
387,2025-06-24,200,Cuenca,8,resultado excelente,Calidad
388,2025-05-19,125,Manta,8,descuento aplicado,Precio
389,2024-04-11,144,Guayaquil Norte,7,asesor muy cordial,Trato
390,2025-08-26,199,Guayaquil Norte,9,muy limpio,Limpieza
391,2024-09-22,126,Manta,8,tiempo razonable,Tiempo de espera
392,2024-07-12,369,Cuenca,8,excelente atención,Trato
393,2025-05-11,595,Guayaquil Norte,9,rápidos en atender,Tiempo de espera
394,2025-02-01,444,Manta,6,suficiente,Instalaciones
395,2024-03-06,216,Quito Sur,7,espera moderada,Tiempo de espera
396,2024-09-23,769,Guayaquil Centro,7,funciona como se espera,Calidad
397,2024-07-23,604,Cuenca,8,rápidos en atender,Tiempo de espera
398,2024-05-17,91,Manta,10,ordenado y pulcro,Limpieza
399,2025-01-07,201,Cuenca,8,excelente atención,Trato
400,2024-08-13,197,Guayaquil Centro,7,trato correcto,Trato
401,2025-01-31,101,Guayaquil Norte,9,tiempo razonable,Tiempo de espera
402,2024-11-20,226,Quito Sur,10,trato amable,Trato
403,2024-01-17,228,Quito Sur,10,personal atento,Trato
404,2025-04-05,701,Quito Norte,8,promociones útiles,Precio
405,2024-09-04,668,Quito Norte,8,personal atento,Trato
406,2024-12-30,194,Quito Sur,8,calidad normal,Calidad
407,2024-05-14,682,Guayaquil Norte,7,asesor muy cordial,Trato
408,2025-04-05,429,Quito Sur,7,resultado excelente,Calidad
409,2024-08-14,583,Manta,9,resultado excelente,Calidad
410,2024-03-27,800,Cuenca,8,tiempo razonable,Tiempo de espera
411,2024-08-27,84,Quito Norte,7,trato amable,Trato
412,2024-09-23,683,Guayaquil Centro,9,asesor muy cordial,Trato
413,2024-08-29,380,Guayaquil Norte,6,dentro de lo esperado,Tiempo de espera
414,2025-04-25,526,Guayaquil Norte,7,dentro de lo esperado,Tiempo de espera
415,2025-08-25,617,Guayaquil Norte,9,rápidos en atender,Tiempo de espera
416,2024-01-29,670,Quito Sur,9,sin demoras,Tiempo de espera
417,2025-06-14,584,Manta,9,tiempo razonable,Tiempo de espera
418,2025-03-31,9,Guayaquil Norte,9,servicio de alta calidad,Calidad
419,2024-02-20,290,Cuenca,9,sala de espera excelente,Instalaciones
420,2024-09-16,126,Quito Norte,7,espera moderada,Tiempo de espera
421,2024-10-11,718,Manta,4,demora innecesaria,Tiempo de espera
