tx_id,customer_id,product_id,date,quantity,revenue_usd
169,207,41,2024-11-14,1,72.49
170,141,9,2025-05-13,3,83.48
171,687,31,2024-08-31,2,56.78
172,723,16,2024-01-07,1,35.59
173,528,45,2025-03-31,1,21.88
174,137,60,2024-12-25,1,20.81
175,715,20,2024-05-16,1,44.6
176,725,10,2025-08-24,1,25.99
177,577,16,2024-12-07,1,37.01
178,645,53,2024-04-30,1,44.04
179,562,28,2024-06-22,1,26.51
180,694,43,2024-06-07,1,36.82
181,614,30,2025-02-19,2,70.93
182,212,8,2024-10-23,1,29.6
183,13,24,2025-05-13,2,52.53
184,212,3,2024-03-02,1,56.74
185,288,20,2024-07-20,1,40.79
186,114,45,2024-11-12,3,72.88
187,459,8,2024-06-14,1,26.48
188,333,29,2025-04-24,1,44.04
189,583,24,2024-10-23,2,57.86
190,173,36,2024-03-14,1,43.73
191,47,1,2025-04-24,2,102.83
192,769,32,2024-03-26,2,125.23
193,766,46,2024-12-05,1,35.25
194,757,37,2024-09-27,2,65.67
195,112,42,2025-05-15,1,31.11
196,445,32,2024-07-13,1,60.77
197,557,21,2024-01-09,1,59.45
198,368,59,2024-04-03,1,44.92
199,660,19,2024-09-14,1,35.75
200,669,16,2024-03-21,2,74.04
201,142,48,2024-01-29,1,25.15
202,26,50,2025-02-08,1,25.93
203,149,19,2025-01-11,1,34.33
204,191,41,2025-06-22,1,67.97
205,699,11,2024-04-14,1,40.51
206,737,54,2024-11-13,2,57.82
207,761,40,2024-11-30,1,43.69
208,389,12,2024-12-30,1,42.56
209,328,15,2025-01-12,1,21.68
210,140,36,2025-01-13,1,45.4
211,260,16,2024-02-29,1,40.54
212,43,7,2025-08-03,1,77.55
213,644,59,2025-02-16,1,40.01
214,52,14,2025-05-21,3,102.98
215,434,32,2024-06-10,1,61.35
216,307,39,2025-08-18,1,41.24
217,642,6,2024-05-25,1,31.98
218,705,15,2024-06-16,1,23.33
219,142,29,2025-02-15,3,134.34
220,92,3,2025-03-26,3,168.75
221,491,13,2024-08-11,1,46.29
222,741,24,2024-01-03,1,30.54
223,33,54,2025-06-07,1,27.27
224,436,10,2024-10-17,1,28.09
225,74,43,2024-02-26,1,37.16
226,527,46,2025-03-07,1,36.43
227,347,5,2025-03-25,1,35.64
228,10,43,2024-06-29,2,67.79
229,743,11,2025-01-22,1,40.46
230,303,1,2025-03-29,2,103.16
231,577,44,2024-12-22,3,78.99
232,582,13,2025-04-25,1,48.98
233,88,35,2024-11-27,1,36.53
234,530,30,2025-03-14,3,111.13
235,548,59,2024-06-07,3,131.17
236,411,39,2024-03-24,1,39.86
237,62,47,2024-12-05,1,43.2
238,624,43,2024-10-31,2,75.51
239,579,37,2025-03-07,1,37.02
240,378,31,2024-05-20,3,92.58
241,307,56,2024-12-17,1,28.58
242,544,57,2024-01-29,2,38.73
243,194,15,2025-04-03,1,20.02
244,708,6,2024-05-30,2,69.34
245,677,38,2025-01-15,2,56.42
246,569,38,2025-03-02,1,27.36
247,369,34,2024-09-03,2,61.53
248,579,29,2025-02-09,3,129.87
249,268,8,2024-08-20,4,114.91
250,185,57,2024-07-26,2,34.1
251,562,48,2024-04-24,1,24.88
252,227,56,2024-09-16,1,26.07
253,666,7,2024-07-11,3,238.44
254,544,43,2024-09-14,1,39.07
255,727,32,2024-08-20,1,60.98
256,568,30,2024-08-19,1,33.17
257,555,37,2024-04-25,1,34.67
258,754,33,2025-08-25,2,61.91
259,581,6,2025-02-21,1,34.99
260,696,5,2025-03-26,1,41.92
261,138,56,2025-05-30,1,28.93
262,564,33,2024-04-27,3,91.93
263,642,47,2025-06-11,1,46.51
264,105,30,2025-02-05,1,36.32
265,558,11,2024-07-15,2,73.81
266,577,31,2024-04-05,3,89.6
267,141,24,2024-02-28,1,31.39
268,415,16,2024-02-18,1,38.71
269,382,3,2024-01-16,3,174.71
270,719,39,2024-08-06,1,46.02
271,471,20,2024-05-03,1,41.46
272,725,9,2025-03-12,1,26.23
273,90,40,2024-07-25,1,39.94
274,577,8,2024-12-29,3,79.93
275,173,24,2024-12-15,3,83.52
276,782,48,2024-01-12,1,24.35
277,262,8,2024-09-02,1,26.27
278,382,33,2025-06-21,1,27.17
279,366,47,2025-05-15,2,84.06
280,45,53,2025-09-10,2,83.44
281,362,7,2024-12-30,3,221.57
282,563,21,2025-09-09,1,53.81
283,116,3,2024-09-05,1,56.12
284,261,23,2024-07-16,1,24.39
285,711,29,2024-01-22,4,150.49
286,596,29,2024-04-26,1,41.74
287,22,32,2024-04-23,2,124.46
288,76,52,2024-09-21,2,56.65
289,190,10,2025-07-21,1,26.05
290,297,56,2025-01-24,1,30.17
291,148,38,2024-09-13,2,47.4
292,552,45,2024-10-02,1,24.23
293,455,1,2024-01-26,2,105.17
294,351,10,2025-05-13,1,28.8
295,514,31,2024-02-02,3,87.78
296,37,5,2024-07-05,2,81.08
297,636,53,2025-09-06,3,124.43
298,402,54,2025-05-02,3,76.0
299,163,45,2025-04-04,4,92.15
300,403,15,2025-06-13,2,40.93
301,78,24,2024-12-03,1,29.78
302,541,14,2024-11-14,1,29.8
303,135,38,2024-02-14,1,27.22
304,217,11,2025-01-04,1,36.13
305,745,30,2024-12-05,1,34.97
306,591,30,2025-02-01,2,74.35
307,363,21,2024-01-07,1,62.2
308,344,38,2025-05-10,1,26.08
309,342,15,2024-01-22,2,44.55
310,255,30,2025-09-15,1,37.35
311,47,41,2024-05-29,2,149.74
312,745,43,2024-05-27,1,38.14
313,280,25,2024-10-06,2,62.11
314,66,33,2024-09-25,1,28.4
315,366,37,2025-08-10,1,32.04
316,541,38,2024-05-22,1,24.99
317,716,3,2025-07-28,2,111.29
318,790,7,2024-07-23,2,145.05
319,793,28,2025-08-08,2,60.2
320,650,7,2025-01-06,1,80.72
321,289,51,2024-08-31,2,105.71
322,145,44,2024-03-14,2,56.24
323,312,49,2024-12-15,2,52.52
324,758,24,2025-06-05,1,31.03
325,651,16,2024-12-24,2,82.2
326,564,46,2025-02-19,1,37.38
327,343,4,2024-12-11,1,59.91
328,688,21,2025-05-08,1,54.47
329,516,24,2024-09-06,2,56.87
330,241,23,2024-06-03,1,22.15
331,139,14,2024-01-08,2,59.98
332,688,30,2025-02-18,1,36.08
333,457,26,2025-08-05,1,22.61
334,791,20,2024-06-21,1,43.78
335,601,5,2024-05-27,1,42.14
336,309,47,2024-11-11,1,50.38
337,259,47,2025-08-08,2,86.44
338,565,43,2024-12-14,2,74.61
339,76,59,2024-07-13,1,40.66
340,598,60,2024-03-22,3,63.5
341,599,12,2024-11-07,1,37.4
342,595,23,2025-04-24,1,25.1
343,366,50,2025-03-14,1,24.64
344,739,56,2024-03-10,1,27.68
345,497,21,2024-06-28,1,56.85
346,283,58,2024-09-20,1,37.96
347,560,2,2024-06-17,1,73.15
348,642,18,2024-08-30,1,38.03
349,722,2,2024-08-11,2,141.41
350,49,26,2025-04-03,1,21.75
351,206,58,2025-09-09,3,100.03
352,290,56,2025-05-28,1,29.22
353,664,7,2024-07-20,1,83.76
354,248,47,2024-02-28,1,47.08
355,133,39,2024-02-19,2,81.6
356,82,5,2025-08-12,1,35.78
357,350,47,2024-05-19,2,93.95
358,6,13,2024-10-04,2,101.7
359,550,42,2024-01-16,2,58.27
360,656,21,2024-01-29,1,60.6
361,218,21,2024-11-30,1,60.74
362,768,2,2025-05-12,1,68.59
363,416,40,2024-12-11,3,118.93
364,179,4,2025-02-28,1,61.68
365,47,6,2024-12-08,1,33.19
366,795,32,2025-09-04,3,192.77
367,410,17,2025-04-19,3,140.91
368,14,2,2024-11-20,1,65.42
369,578,42,2024-11-16,1,32.67
370,58,27,2024-12-03,3,134.55
371,161,6,2024-01-20,3,104.63
372,160,14,2024-05-26,1,29.1
373,543,50,2024-04-02,1,26.12
374,367,53,2025-01-05,1,44.94
375,434,23,2025-07-05,1,25.01
376,697,38,2025-07-22,1,26.64
377,158,43,2025-09-08,4,140.67
378,589,22,2024-08-23,2,66.83
379,759,40,2024-09-21,1,42.83
380,729,31,2024-02-02,1,30.82
381,795,42,2024-11-12,1,34.77
382,668,50,2025-07-16,1,24.99
383,724,30,2025-07-26,2,69.86
384,285,24,2025-06-19,1,27.34
385,543,18,2024-05-15,1,35.17
386,259,1,2025-07-25,1,45.75
387,488,7,2025-01-06,2,153.21
388,155,41,2024-08-21,1,68.62
389,411,49,2024-04-02,2,52.07
390,29,40,2024-05-17,1,39.09
391,126,4,2025-07-10,1,60.88
392,514,14,2025-07-22,2,69.65
393,797,12,2024-09-22,1,39.53
394,621,24,2024-06-01,1,31.84
395,182,56,2024-06-14,2,60.03
396,542,2,2024-12-25,1,68.71
397,797,46,2024-09-05,2,67.94
398,453,56,2025-05-25,1,27.57
399,219,41,2024-12-18,1,72.74
400,399,30,2024-08-05,2,69.92
401,332,51,2024-01-28,1,58.36
402,111,43,2024-01-16,3,104.05
403,68,52,2025-02-15,3,79.94
404,691,56,2024-12-25,2,59.91
405,62,15,2025-07-31,1,19.32
406,386,27,2025-01-19,2,86.55
407,673,41,2024-08-17,1,70.91
408,32,17,2024-01-22,1,43.31
409,269,46,2025-03-20,5,186.83
410,248,15,2024-12-28,1,22.58
411,209,21,2025-03-11,4,231.18
412,659,18,2024-11-01,2,76.78
413,511,14,2025-08-06,3,87.02
414,161,31,2024-09-30,4,137.8
415,770,9,2024-11-03,3,86.68
416,290,6,2024-12-05,3,93.23
417,5,32,2024-09-12,1,60.09
418,166,21,2025-09-03,2,115.45
419,464,14,2025-08-16,1,30.84
420,54,57,2024-08-02,3,57.68
421,754,24,2024-02-17,2,62.66
422,799,50,2025-03-25,2,53.26
423,187,28,2024-05-23,1,27.86
424,305,44,2024-01-26,1,26.44
425,115,10,2024-01-10,2,49.51
426,137,59,2024-11-05,1,38.86
427,155,33,2024-12-26,1,30.02
428,100,49,2024-06-21,2,52.29
429,476,44,2025-02-10,2,58.44
430,93,27,2024-12-13,2,82.27
431,658,59,2025-02-10,1,41.08
432,344,58,2024-02-03,1,36.45
433,600,16,2024-07-25,1,41.33
434,643,45,2024-01-16,1,21.21
435,39,9,2025-05-31,1,30.98
436,610,15,2025-08-11,1,19.19
437,441,45,2024-04-17,1,23.84
438,746,2,2024-02-19,1,72.33
439,325,5,2024-04-22,1,37.67
440,124,32,2024-05-19,2,114.28
441,539,28,2024-01-03,1,26.05
442,184,15,2025-07-07,1,19.57
443,152,41,2025-07-12,1,72.22
444,513,8,2025-06-26,2,56.69
445,363,54,2025-05-23,1,28.51
446,80,23,2024-08-08,1,23.25
447,230,47,2024-03-15,2,96.07
448,280,46,2024-06-30,1,35.57
449,16,17,2024-10-02,1,52.09
450,71,3,2024-07-20,2,111.33
451,521,4,2025-02-21,1,61.3
452,570,24,2024-09-30,1,31.57
453,11,21,2024-02-12,2,108.08
454,669,30,2025-07-11,1,34.94
455,289,36,2024-12-04,1,43.33
456,707,27,2024-10-02,2,96.3
457,409,28,2024-11-21,1,28.67
458,553,27,2025-01-27,1,48.01
459,155,25,2025-01-29,2,66.72
460,420,52,2024-05-26,1,28.07
461,651,1,2024-09-01,2,108.42
462,623,33,2024-09-17,1,29.63
463,711,40,2025-01-21,1,43.26
464,247,53,2024-07-22,1,40.3
465,680,8,2024-03-29,1,29.96
466,636,51,2024-02-04,1,55.85
467,734,4,2025-02-19,1,58.33
468,711,36,2024-11-28,1,44.85
469,702,42,2025-03-29,1,32.87
470,563,43,2024-11-19,1,35.0
471,467,37,2024-01-01,1,35.36
472,485,48,2025-04-26,1,28.08
473,523,22,2025-08-29,2,73.28
474,560,25,2024-08-28,1,31.99
475,645,51,2025-01-22,1,51.89
476,364,46,2024-03-06,1,35.04
477,403,34,2024-09-29,1,28.33
478,628,43,2024-11-25,2,70.05
479,74,41,2025-07-10,3,224.12
480,681,15,2024-09-28,1,20.55
481,269,59,2025-04-29,1,42.19
482,739,23,2025-06-18,1,25.1
483,604,31,2025-08-07,2,60.94
484,227,10,2024-03-08,1,26.67
485,776,34,2025-01-07,1,30.18
486,537,14,2025-06-24,1,29.92
487,174,53,2025-01-09,1,39.89
488,245,44,2024-06-25,3,82.12
489,157,53,2025-04-16,1,39.02
490,182,41,2024-02-14,1,76.2
491,330,25,2025-01-05,1,31.56
492,439,8,2025-02-23,4,110.48
493,158,45,2024-09-14,1,22.69
494,385,7,2025-01-08,1,71.5
495,366,43,2025-06-19,2,71.47
496,534,20,2025-04-08,1,43.69
497,679,6,2024-10-08,1,34.31
498,406,19,2025-04-01,1,34.78
499,712,8,2025-04-05,1,29.04
500,650,31,2024-06-27,1,31.86
501,778,34,2024-06-02,1,29.54
502,7,44,2024-05-13,1,27.07
503,376,32,2025-06-17,3,193.32
504,677,16,2025-01-14,1,38.38
505,536,22,2025-01-25,2,72.2
506,259,2,2025-07-23,1,77.04
507,206,1,2025-08-07,1,53.05
508,266,4,2025-08-27,1,54.66
509,183,20,2025-07-11,1,38.93
510,282,59,2024-11-27,2,89.95
511,262,16,2024-09-28,1,35.47
512,449,6,2025-06-21,1,30.64
513,652,32,2024-03-31,1,59.01
514,207,9,2025-03-09,1,29.39
515,298,40,2025-01-15,1,41.67
516,45,46,2025-03-29,2,65.22
517,385,24,2024-02-12,1,29.06
518,730,49,2024-10-29,1,28.62
519,418,28,2025-09-14,4,118.74
520,263,23,2024-09-01,3,73.46
521,395,55,2025-08-15,1,37.18
522,133,60,2024-07-15,1,17.72
523,729,38,2025-01-16,3,73.11
524,65,43,2024-07-27,1,38.1
525,338,56,2024-03-13,3,90.29
526,82,49,2025-04-01,1,28.0
527,389,26,2025-06-22,1,22.32
528,425,32,2024-01-27,1,61.03
529,111,38,2025-07-31,1,25.29
530,474,60,2025-04-18,1,21.48
531,718,54,2025-03-22,1,26.66
532,425,31,2024-06-29,1,30.08
533,67,29,2025-02-11,2,86.98
534,504,9,2025-06-08,1,30.37
535,771,53,2024-01-10,1,38.29
536,687,15,2024-07-24,2,39.73
537,412,35,2024-02-11,2,79.4
538,697,19,2025-07-21,1,33.75
539,339,50,2025-01-31,1,22.68
540,789,30,2024-04-30,3,116.84
541,93,15,2024-03-19,1,19.43
542,585,53,2024-01-16,2,75.81
543,105,32,2024-03-31,2,126.13
544,772,14,2025-07-31,1,35.07
545,466,4,2024-07-23,3,164.96
546,729,22,2025-05-09,1,34.08
547,57,36,2025-03-03,3,140.16
548,598,9,2025-02-20,2,53.3
549,52,56,2024-05-29,1,27.21
550,329,22,2024-07-13,1,34.23
551,531,1,2024-07-09,1,46.18
552,552,18,2025-06-16,1,36.32
553,269,6,2024-11-16,1,33.0
554,393,17,2024-11-01,3,140.4
555,570,26,2025-06-07,1,21.05
556,431,44,2024-02-22,1,27.72
557,315,20,2024-09-11,2,91.05
558,390,52,2025-03-22,1,27.39
559,553,17,2024-11-08,1,49.53
560,207,9,2024-02-23,1,29.85
561,213,35,2025-01-17,1,36.26
562,476,43,2025-05-15,1,38.65
563,727,38,2024-05-24,1,28.24
564,375,60,2024-12-15,1,18.93
565,206,30,2025-07-23,1,38.74
566,680,4,2024-11-17,4,215.54
567,9,35,2024-03-10,1,37.22
568,419,37,2024-11-27,2,73.72
569,37,18,2024-08-12,1,38.34
570,450,19,2024-07-24,1,32.45
571,728,14,2025-08-29,1,32.37
572,626,30,2025-02-19,1,39.96
573,746,29,2024-07-27,1,44.55
574,209,4,2024-07-03,1,52.06
575,445,55,2024-05-07,1,35.93
576,51,9,2024-03-14,1,31.3
577,611,32,2024-07-03,1,64.86
578,15,60,2025-07-28,1,20.54
579,755,52,2024-06-17,1,27.64
580,511,15,2024-10-28,1,19.71
581,217,35,2024-06-11,2,72.94
582,150,50,2024-07-30,2,45.59
583,529,7,2025-04-21,1,81.02
584,98,13,2024-04-03,1,51.46
585,52,27,2024-08-17,1,43.57
586,675,54,2024-09-20,2,55.68
587,724,58,2025-03-29,3,101.22
588,703,28,2024-06-07,1,24.67
589,59,60,2024-05-16,1,18.69
590,43,11,2025-04-02,1,36.54
591,301,49,2024-08-26,1,30.0
592,597,52,2024-11-22,1,27.49
593,724,36,2024-06-06,1,46.0
594,317,59,2024-09-21,1,41.18
595,333,36,2024-08-07,2,82.94
596,156,52,2024-08-24,3,86.79
597,401,3,2024-12-01,3,162.35
598,390,10,2024-10-25,1,29.26
599,229,42,2025-07-12,2,61.27
600,711,6,2024-07-21,1,35.09
601,476,10,2024-07-07,2,51.76
602,441,22,2025-02-15,1,33.94
603,118,3,2024-12-26,2,118.93
604,126,43,2024-08-03,1,33.66
605,672,34,2025-06-22,1,27.31
606,75,19,2025-05-16,2,72.17
607,357,2,2025-05-23,2,153.48
608,96,13,2025-05-11,2,93.62
609,287,56,2024-11-06,1,28.62
610,613,38,2025-07-07,1,27.3
611,775,6,2024-07-25,1,30.09
612,144,31,2024-10-04,1,32.1
613,787,58,2024-08-20,1,34.08
614,593,60,2024-11-03,1,17.75
615,34,38,2025-09-05,3,84.61
616,104,1,2024-12-18,1,48.83
617,200,10,2024-11-03,1,27.95
618,52,12,2024-12-07,1,40.14
619,359,29,2025-05-07,1,37.34
620,254,22,2025-01-07,5,161.94
621,184,8,2024-11-01,2,58.99
622,72,47,2025-07-26,1,42.97
623,466,7,2025-07-18,1,78.36
624,116,51,2024-06-14,2,120.38
625,610,26,2025-04-17,1,19.08
626,37,3,2024-02-10,1,64.49
627,526,38,2024-04-09,1,27.76
628,423,42,2024-05-15,1,34.09
629,426,37,2024-12-27,1,37.4
630,79,24,2024-06-16,4,120.51
631,369,11,2024-04-02,3,122.09
632,340,1,2025-05-06,1,52.5
633,311,10,2024-09-24,1,27.54
634,97,7,2024-09-01,1,76.74
635,120,10,2025-05-23,1,27.5
636,277,35,2025-07-08,1,39.48
637,121,21,2025-04-24,1,55.97
638,252,11,2025-08-05,1,35.33
639,549,3,2025-06-02,1,61.57
640,263,24,2024-07-21,1,29.66
641,291,26,2025-07-22,1,21.53
642,209,9,2024-09-02,1,27.79
643,745,56,2025-07-01,2,54.8
644,514,16,2024-04-07,1,39.51
645,16,7,2024-02-24,1,85.74
646,501,51,2025-08-07,1,54.23
647,216,45,2024-08-22,1,22.17
648,90,49,2024-06-24,2,61.5
649,158,54,2024-09-27,1,25.91
650,32,28,2025-02-06,1,29.49
651,640,34,2024-04-22,1,30.06
652,299,37,2024-05-03,1,31.59
653,87,43,2025-08-15,1,38.31
654,223,15,2024-09-06,1,20.47
655,610,50,2025-06-09,1,22.35
656,728,53,2024-03-04,2,86.86
657,252,5,2025-09-05,1,35.17
658,346,7,2024-02-12,3,248.83
659,221,40,2024-06-27,4,176.55
660,311,22,2024-03-27,3,106.8
661,778,30,2025-08-29,1,33.82
662,188,1,2024-11-21,1,53.2
663,422,51,2025-02-20,1,56.89
664,34,6,2024-09-07,1,32.37
665,152,47,2025-06-07,1,49.61
666,696,11,2024-06-03,1,33.98
667,353,50,2024-05-23,1,25.81
668,209,13,2024-08-12,1,46.3
669,703,22,2024-03-09,1,31.88
670,3,51,2025-05-06,2,106.23
671,39,32,2025-06-22,2,111.77
672,798,22,2024-03-11,1,32.3
673,770,39,2024-03-05,1,47.26
674,204,56,2024-02-21,1,30.93
675,375,51,2025-02-25,1,52.55
676,95,42,2024-12-23,1,31.55
677,597,11,2025-05-19,1,35.15
678,689,50,2025-05-23,2,49.46
679,139,17,2024-11-06,1,46.49
680,55,48,2025-04-22,1,23.43
681,697,38,2024-06-17,1,25.58
682,446,25,2025-06-09,1,35.14
683,307,48,2025-08-30,1,23.91
684,545,42,2024-04-28,1,30.16
685,70,51,2024-09-15,1,51.44
686,769,54,2024-08-25,2,54.02
687,246,13,2025-08-24,2,102.33
688,469,36,2024-08-30,1,50.38
689,505,37,2024-02-21,3,101.12
690,402,43,2025-02-08,1,34.5
691,642,44,2024-12-16,4,114.98
692,389,26,2024-03-30,1,21.21
693,234,42,2024-12-13,3,95.46
694,680,39,2025-03-12,2,89.23
695,313,1,2024-11-03,1,54.99
696,501,39,2024-01-17,1,40.6
697,114,57,2025-05-01,3,61.12
698,429,27,2025-09-11,1,40.98
699,307,30,2024-05-29,1,34.85
700,344,35,2024-08-06,1,35.97
701,86,23,2025-02-07,2,45.29
702,478,40,2024-02-03,1,42.39
703,300,22,2024-03-31,1,36.76
704,278,12,2025-03-28,1,41.55
705,418,43,2025-07-05,1,35.21
706,248,8,2024-08-09,2,51.79
707,700,41,2024-02-12,2,140.5
708,385,53,2024-07-07,1,38.7
709,400,18,2024-12-06,3,103.14
710,155,24,2024-06-20,3,87.67
711,230,23,2025-02-07,2,45.57
712,316,32,2024-11-22,1,64.88
713,519,51,2025-09-13,1,55.35
714,194,55,2024-06-15,2,77.51
715,401,34,2024-01-10,1,28.15
716,1,55,2024-06-28,2,64.17
717,107,16,2025-04-10,2,83.08
718,579,52,2024-09-13,2,57.61
719,755,23,2024-04-13,1,21.76
720,566,48,2025-06-10,3,76.6
721,683,25,2024-05-18,1,29.62
722,772,58,2024-09-16,1,37.61
723,683,27,2024-03-18,2,94.03
724,527,40,2024-12-05,1,39.12
725,455,18,2024-10-29,2,74.74
726,371,20,2025-01-19,2,84.64
727,535,52,2024-03-02,1,28.48
728,671,32,2025-05-20,1,61.25
729,373,45,2024-01-19,1,21.6
730,59,57,2024-05-01,2,37.97
731,571,25,2025-04-03,1,35.13
732,319,49,2025-06-08,1,29.63
733,156,47,2025-09-13,1,50.1
734,768,30,2024-02-05,1,33.95
